name,phone,address,rating,website,google_maps_url,city,business_type,contacted
Vibe Unisex Salon,9342795928,"
28, Dhandapani St, T. Nagar, Chennai, Tamil Nadu 600017",,None,"https://www.google.com/maps/place/VIBE+UNISEX+SALON/@13.0920912,80.1468205,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5267e9ea1a9b85:0x4c1e7daa136e11ca!8m2!3d13.0360395!4d80.2339228!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11xd0pd1_b?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Cheap And Best Men'S Salon Arumbakkam,7200360483,"
No.66a/56, 1, Panchali Amman Koil Street, Koluthuvanchery, Jai Nagar, Arumbakkam, Chennai, Tamil Nadu 600106",,None,"https://www.google.com/maps/place/Cheap+and+Best+Men's+Salon,+Arumbakkam/@13.0825766,80.1715609,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a52678ed998a76f:0x50c9e5729817fedb!8m2!3d13.0718951!4d80.2100742!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQpoYWlyX3NhbG9u4AEA!16s%2Fg%2F11pcw_7n_n?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Shahnaz Husain International Franchise Salon Annanagar Chennai Best Salon For Hair Skin Bridal And Nail Salon,9790837218,"
1st Floor, 16/118, 8th Main Rd, Block AI, AI Block, Anna Nagar, Chennai, Tamil Nadu 600040",,"Social only: 
instagram.com","https://www.google.com/maps/place/Shahnaz+Husain+International+Franchise+Salon+%E2%80%93+Annanagar,+Chennai+%7C+Best+Salon+for+Hair,+Skin,+Bridal+and+Nail+salon/@13.077423,80.1614227,13z/data=!3m1!5s0x3a5264206576bbfd:0x6af6a3c585ec13c8!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5265a563f73d33:0x88e160ed7463b212!8m2!3d13.080747!4d80.212049!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11vdlqy009?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Cheap And Best Men'S Salon Anna Nagar,9946595595,"
No 19/1, Thirumeni Amman Kovil Street, LD : Near Khalids Briyani, Thirumangalam Junction, 2nd Ave, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,None,"https://www.google.com/maps/place/Cheap+and+Best+Men's+Salon,+Anna+Nagar/@13.0877795,80.1281646,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5265a2aae3ba93:0x5d90fb882a591a6d!8m2!3d13.0855208!4d80.1995207!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11stphg_zl?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
One And Only Hair And Skin Unisex Salon Studio,4442158788,"
45, 106, Cathedral Rd, Gopalapuram, Chennai, Tamil Nadu 600086",,None,"https://www.google.com/maps/place/One+And+Only+Hair+And+Skin+Unisex+Salon+Studio/@13.044659,80.1961773,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5267125a473911:0x6bb35fee6f044776!8m2!3d13.0469711!4d80.2548492!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11flts1g5g?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Cheap & Best - Affordable Men'S Salon -Madhavaram High Road Perambur,7806969001,"
94/20, Madhavaram High Rd, Bunder Garden, Perambur, Chennai, Tamil Nadu 600011",,None,"https://www.google.com/maps/place/CHEAP+%26+BEST+-+Affordable+Men's+Salon+-Madhavaram+High+Road,+Perambur/@13.0485111,80.1474001,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a52659104258ca5:0x433b6a73c841a77b!8m2!3d13.1108279!4d80.2434291!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11s7kx4wv2?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Love Unisex Salon,9342797125,"
115, Jawaharlal Nehru salai, 100feet road, Arumbakkam, Chennai, Tamil Nadu 600026",,"Social only: 
instagram.com","https://www.google.com/maps/place/Love+unisex+salon/@13.0484424,80.0654414,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5267981ee600bf:0x79fa637a0d90b2fc!8m2!3d13.0593992!4d80.2113738!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSARJ1bmlzZXhfaGFpcmRyZXNzZXLgAQA!16s%2Fg%2F11ln5n0jjs?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
New Look Salon,7409096454,"
No.15, 4, Perianna Maistry St, Periamet, Park Town, Chennai, Tamil Nadu 600003",,None,"https://www.google.com/maps/place/New+Look+Salon/@13.0349239,80.1826613,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5265e47b7a2b53:0x289c0c03ec816041!8m2!3d13.0833831!4d80.2685487!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11k53s3ddm?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Kohls Salon Anna Nagar Exclusive For Women,7338782344,"
1726, Vasantham Colony 1st Main Rd, Vasantham Colony, Anna Nagar, Chennai, Tamil Nadu 600040",,None,"https://www.google.com/maps/place/Kohls+Salon%7C+Anna+Nagar+%7C+Exclusive+for+Women/@13.0334063,80.139647,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a52659c0ef38b2d:0xa393f81faf30160d!8m2!3d13.0956345!4d80.2044023!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11g_zyb681?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
Style Spark Unisex Salon,4428262818,"
next Sangeetha hotel, Chesney lane, Ethiraj Salai, Chennai, Tamil Nadu 600008",,None,"https://www.google.com/maps/place/STYLE+SPARK+Unisex+Salon/@13.0507696,80.1458079,13z/data=!4m10!1m2!2m1!1ssalon+in+chennai!3m6!1s0x3a5266137033ef03:0xb261a16b5bb98d55!8m2!3d13.064906!4d80.25639!15sChBzYWxvbiBpbiBjaGVubmFpWhIiEHNhbG9uIGluIGNoZW5uYWmSAQxiZWF1dHlfc2Fsb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhzTWxscWJGQlZNRm95WVZkS2IxSXhWbWxPVlU0MVZWVkplbVF6WXhBQuABAPoBBQidARAo!16s%2Fg%2F11c5sbsmp5?entry=ttu&g_ep=EgoyMDI2MDMyMi4wIKXMDSoASAFQAw%3D%3D",chennai,salon,0
